claim_id,report_section,claim,artifact_path,exact_locator,collection_time_utc,sha256,proves,does_not_prove,confidence,alternative_considered,disposition
C-001,Integrity and provenance,The assigned evidence archive matches the SHA-256 and byte count published in the private overlay before any analysis began.,grc-stage-7-shared-b1_tar.gz,whole-file SHA-256,2026-08-14T10:11:51.551487+00:00,7f2e8fc437405b251d7a963f73241b56eec72b0297435c4d4aab43170dc2cd4e,The archive analysed is bit-for-bit the archive UBI issued for evidence marker UBI-A7-ADFAFF62AD2E.,"Does not prove the archive's internal contents are free of the deliberately embedded data quality issues described in the brief (duplicates, timezone offsets, stale evidence).",high,"None; a whole-file hash match is a direct, sufficient check.",Retained as the first evidence-index entry; this is the gate the submission contract requires before any other analysis is trusted.
C-002,Audit planning and sampling,Re-running the audit engine with the same evidence marker against the same audit-populations.csv produces an identical sample-manifest.csv and evidence-verdicts.json (aside from the generation timestamp).,sample-manifest.csv,"whole-file diff, two independent runs",2026-08-14T10:11:51.551487+00:00,8a3a44c9a97b39cb2e5787f85e19fd3cafde35a8ecd4d4361c07d216cdb27e21,"The marker-seeded sampler is deterministic and order-independent, satisfying the reproducibility requirement in the technical assessment contract.",Does not prove the sampler is deterministic across different machine architectures or Python versions; only tested on this environment.,high,Could have asserted determinism from code review alone.,"Retained the empirical two-run comparison over a code-review-only claim because the contract requires staff to be able to reproduce the exact same output, not merely a plausible one."
C-003,Control testing and verdicts,All 24 published fixtures classify to their exact expected rule_id and verdict under the severity engine.,public-fixtures.json,pytest test_all_24_public_fixtures_classify_correctly,2026-08-14T10:11:51.551487+00:00,bb8815e63effc8a58e4dda9ca3091ab0ab17c569e987235e5d02ab602d43d32a,"The implementation of severity-rules.yaml's first-match precedence is correct for every published case, including boundary and multi-condition cases.","Does not prove correctness against the staff hidden fixture set, which is not available; tests/test_transfer_style_fixture.py is a hand-written stand-in covering the same boundary logic with different values.",high,Could have spot-checked a handful of fixtures manually.,Retained the full automated 24/24 run because a partial manual check would not catch an off-by-one in rule precedence ordering.
C-004,Control testing and verdicts,Sample active/disabled access records and confirm the supporting record is current (<=180 days old at audit-period end) and status is traceable.,audit-populations.csv,audit-populations.csv:iam-export:2; audit-populations.csv:iam-export:3; audit-populations.csv:iam-export:4,2026-08-14T10:11:51.551487+00:00,42aba7b0b6ee33e866fd40f74c04065e9a594f71e26c8001a99e0c8aecd7397a,The sampled/reviewed evidence for A.5.15 met the pass criterion defined for AT-01; rule CONFORMS fired with no disqualifying facts present.,Does not prove the control will continue operating correctly outside the sampled records or after the audit period ends.,high,"An alternative reading could weight the same facts differently (e.g. treating a single exception as immaterial), but the published severity rules apply mechanically and do not permit a discretionary downgrade.","Retained the mechanical verdict as binding per the brief ('the machine verdict and rule ID are binding'); any qualitative disagreement is recorded in the internal audit report narrative, not substituted into the verdict."
C-005,Control testing and verdicts,"Retest the HR termination sample (April-June 2026, 20 records) for disablement within the 24-hour policy window and for an HR record backing every active account.",evidence-pack.md,"evidence-pack.md:Identity export bullet 4 (n.adamu, vendor-backup)",2026-08-14T10:11:51.551487+00:00,n/a-narrative-evidence,"The facts recorded for AT-02 met a major-severity condition (design missing, systemic failure, or recurrence of a prior major finding); rule MAJOR-SYSTEMIC is the binding outcome.","Does not prove intent or negligence; the classification is a mechanical output of the published severity rules, not a judgement about individuals.",medium,"An alternative reading could weight the same facts differently (e.g. treating a single exception as immaterial), but the published severity rules apply mechanically and do not permit a discretionary downgrade.","Retained the mechanical verdict as binding per the brief ('the machine verdict and rule ID are binding'); any qualitative disagreement is recorded in the internal audit report narrative, not substituted into the verdict."
C-006,Control testing and verdicts,"Evidence request 1/2 (overlay D2, control A.5.18 expansion): obtain the Q1 review evidence attachment for ticket IAM-4412 and confirm privileged and service accounts were included in the reviewed population. Rationale: the SoA assigns quarterly review ownership to the CISO for all applicable accounts; a sample that omits the highest-risk account classes cannot support a conforming verdict for the control as scoped. Also: Evidence request 2/2 (overlay D2, control A.5.18 expansion): obtain reviewer sign-off and removal evidence for Q2 ticket IAM-5031. Rationale: the ticket was still 'in progress' with no sign-off at audit-period end, so operating effectiveness for Q2 cannot yet be tested rather than assumed to have failed.",evidence-pack.md,evidence-pack.md:Access-review tickets bullet 1 (IAM-4412); evidence-pack.md:Access-review tickets bullet 2 (IAM-5031),2026-08-14T10:11:51.551487+00:00,n/a-narrative-evidence,"At least one required sample or evidence item for A.5.18 failed or was stale/hash-invalid; rule MINOR-EVIDENCE (minor_nc) is the binding, mechanical outcome of the facts recorded for AT-03.","Does not by itself establish root cause; root cause requires the management-letter follow-up, not the mechanical verdict alone.",medium,"An alternative reading could weight the same facts differently (e.g. treating a single exception as immaterial), but the published severity rules apply mechanically and do not permit a discretionary downgrade.","Retained the mechanical verdict as binding per the brief ('the machine verdict and rule ID are binding'); any qualitative disagreement is recorded in the internal audit report narrative, not substituted into the verdict."
C-007,Control testing and verdicts,"Confirm PayBridge has a completed supplier security assessment with any monitored conditions tracked to closure. Also: Confirm HelpSphere, added 14 May 2026 with access to patient-support attachments, has a completed security assessment and an approved risk decision prior to data access being granted.",evidence-pack.md,evidence-pack.md:Supplier evidence bullet 2 (PayBridge); evidence-pack.md:Supplier evidence bullet 3 (HelpSphere); evidence-pack.md:Interview notes (Procurement Analyst),2026-08-14T10:11:51.551487+00:00,n/a-narrative-evidence,"The facts recorded for AT-04 met a major-severity condition (design missing, systemic failure, or recurrence of a prior major finding); rule MAJOR-DESIGN is the binding outcome.","Does not prove intent or negligence; the classification is a mechanical output of the published severity rules, not a judgement about individuals.",medium,"An alternative reading could weight the same facts differently (e.g. treating a single exception as immaterial), but the published severity rules apply mechanically and do not permit a discretionary downgrade.","Retained the mechanical verdict as binding per the brief ('the machine verdict and rule ID are binding'); any qualitative disagreement is recorded in the internal audit report narrative, not substituted into the verdict."
C-008,Control testing and verdicts,"Confirm the exercise evidence cited as the 2026 annual test is dated within 2026 and matches its own file metadata and participant list. Also: Retest the 6 June 2026 severity-2 incident response record for roster currency, escalation timing, and ownership of every lessons-learned action.",evidence-pack.md,evidence-pack.md:Incident evidence bullet 3 (IR-EX-2025-02 label vs metadata); evidence-pack.md:Incident evidence bullet 4 (6 June 2026 incident),2026-08-14T10:11:51.551487+00:00,n/a-narrative-evidence,"At least one required sample or evidence item for A.5.24 failed or was stale/hash-invalid; rule MINOR-OPERATING (minor_nc) is the binding, mechanical outcome of the facts recorded for AT-05.","Does not by itself establish root cause; root cause requires the management-letter follow-up, not the mechanical verdict alone.",medium,"An alternative reading could weight the same facts differently (e.g. treating a single exception as immaterial), but the published severity rules apply mechanically and do not permit a discretionary downgrade.","Retained the mechanical verdict as binding per the brief ('the machine verdict and rule ID are binding'); any qualitative disagreement is recorded in the internal audit report narrative, not substituted into the verdict."
C-009,Control testing and verdicts,Confirm a restore test exists against the current (post-migration) production database version and meets the 4-hour RTO.,evidence-pack.md,evidence-pack.md:ICT continuity and backup evidence bullet 3 (22 Aug 2024 restore report); evidence-pack.md:Interview notes (Infrastructure Lead),2026-08-14T10:11:51.551487+00:00,n/a-narrative-evidence,"At least one required sample or evidence item for A.5.30 failed or was stale/hash-invalid; rule MINOR-EVIDENCE (minor_nc) is the binding, mechanical outcome of the facts recorded for AT-06.","Does not by itself establish root cause; root cause requires the management-letter follow-up, not the mechanical verdict alone.",medium,"An alternative reading could weight the same facts differently (e.g. treating a single exception as immaterial), but the published severity rules apply mechanically and do not permit a discretionary downgrade.","Retained the mechanical verdict as binding per the brief ('the machine verdict and rule ID are binding'); any qualitative disagreement is recorded in the internal audit report narrative, not substituted into the verdict."
C-010,Control testing and verdicts,"Sample training records and confirm status is complete or a documented waiver, with supporting evidence no older than 180 days. Also: Confirm role-based secure-development training assignments exist and are current for developer and privileged-administrator roles.",audit-populations.csv,audit-populations.csv:lms-export:5; audit-populations.csv:lms-export:6; audit-populations.csv:lms-export:7; evidence-pack.md:Awareness evidence bullet 3-4 (roster last Oct 2024; LMS migration),2026-08-14T10:11:51.551487+00:00,42aba7b0b6ee33e866fd40f74c04065e9a594f71e26c8001a99e0c8aecd7397a,"The facts recorded for AT-07 met a major-severity condition (design missing, systemic failure, or recurrence of a prior major finding); rule MAJOR-DESIGN is the binding outcome.","Does not prove intent or negligence; the classification is a mechanical output of the published severity rules, not a judgement about individuals.",high,"An alternative reading could weight the same facts differently (e.g. treating a single exception as immaterial), but the published severity rules apply mechanically and do not permit a discretionary downgrade.","Retained the mechanical verdict as binding per the brief ('the machine verdict and rule ID are binding'); any qualitative disagreement is recorded in the internal audit report narrative, not substituted into the verdict."
